id,name,article,category_id,manager_id,surface_id,logo_id,material_id,dimensions,characteristics,tags,price,cost_price,norm_stock,notes,photos,is_active,created_at,updated_at,weight,puzzle_options,mat_area,border_type,carpet_edge_sides,carpet_edge_strength,bottom_type_id,puzzle_type_id,puzzle_sides,grade,carpet_edge_type,product_type,pur_number,surface_ids,press_type
15,мат,МАТ-2050x1200x24-ЧЕРТ-ШИП5-1СОРТ,2,,6,,,"{""width"": 1200, ""length"": 2050, ""thickness"": 24}",,,,,0,,,t,2025-08-21 10:38:39.583889,2025-08-27 12:21:48.035,,,2.4926,,1,normal,3,,1,usual,straight_cut,carpet,,{6},not_selected
14,мат,МАТ-1990x1200x24-ЧЕШУЙ-ШИП5-1СОРТ,2,,7,,,"{""width"": 1200, ""length"": 1990, ""thickness"": 24}",,,,,0,,,t,2025-08-21 10:37:17.112664,2025-08-27 12:24:36.229,,,2.4079,,1,normal,3,,1,usual,straight_cut,carpet,,{7},not_selected
16,мат,МАТ-1600x900x24-ЧЕШУЙ-ШИП5-1СОРТ,2,,7,,,"{""width"": 900, ""length"": 1600, ""thickness"": 24}",,,,,0,,,t,2025-08-21 10:40:33.77827,2025-08-27 12:25:18.667,,,1.449,,1,normal,3,,1,usual,straight_cut,carpet,,{7},not_selected
17,мат,МАТ-2050x1200x24-ЧЕШУЙ-ШИП5-усил-1СОРТ,2,,7,,,"{""width"": 1200, ""length"": 2050, ""thickness"": 24}",,,,,0,,,t,2025-08-21 11:12:14.976236,2025-08-27 12:26:17.076,,,2.4926,,1,reinforced,3,,1,usual,straight_cut,carpet,,{7},not_selected
19,мат,МАТ-1750x1200x24-ЧЕШУЙ-ШИП5-лит п-1СОРТ,2,,7,,,"{""width"": 1200, ""length"": 1750, ""thickness"": 24}",,,,,0,,,t,2025-08-21 11:19:22.141491,2025-08-27 12:27:43.106,,,2.112,,1,normal,3,,1,usual,litoy_puzzle,carpet,,{7},not_selected
9,мат,МАТ-2000x1200x24-ЧЕШУЙ-ШИП5-4ст нов лит п-1СОРТ,2,,7,,,"{""width"": 1200, ""length"": 2000, ""thickness"": 24}",,,,,0,,,t,2025-08-21 07:21:45.411841,2025-08-27 12:30:55.933,,,2.412,,1,normal,3,,1,usual,litoy_puzzle,carpet,,{7},not_selected
31,ЛЕЖ,ЛЕЖ-1930x1200x30-ЧЕРТ-ШИП11-1СОРТ,3,,6,,,"{""width"": 1200, ""length"": 1930, ""thickness"": 30}",,,,,0,,,t,2025-08-21 12:25:55.041393,2025-08-21 12:25:55.041393,,,2.316,,1,reinforced,5,,1,usual,straight_cut,carpet,,{6},not_selected
32,ЛЕЖ,ЛЕЖ-1800x1190x30-ЧЕРТ-ШИП11-Прям рез-1СОРТ,3,,6,,,"{""width"": 1190, ""length"": 1800, ""thickness"": 30}",,,,,0,,,t,2025-08-21 12:27:45.870447,2025-08-21 12:27:45.870447,,,2.142,,1,reinforced,5,,1,usual,straight_cut,carpet,,{6},not_selected
124,ПУР9,ПУР9,4,,,,,"{""width"": 9, ""length"": 9, ""thickness"": 9}",,,,,0,,,t,2025-09-02 07:46:33.876992,2025-09-02 07:46:33.876992,,,,,,,,,,,,pur,9,,
116,Тест,Тест-1,4,,,,,,,,,,0,,,f,2025-09-01 09:14:59.453736,2025-09-01 09:15:17.552,,,,,,,,,,,,other,,,
33,ЛЕЖ,ЛЕЖ-1800x1190x30-ЧЕШУЙ-ШИП11-Прям рез-1СОРТ,3,,7,,,"{""width"": 1190, ""length"": 1800, ""thickness"": 30}",,,,,0,,,t,2025-08-21 12:29:26.175059,2025-08-21 12:30:03.065,,,2.142,,1,reinforced,5,,1,usual,straight_cut,carpet,,{7},not_selected
34,ЛЕЖ,ЛЕЖ-1700x1190x30-ЧЕРТ-ШИП11-Прям рез-1СОРТ,3,,6,,,"{""width"": 1190, ""length"": 1700, ""thickness"": 30}",,,,,0,,,t,2025-08-21 12:31:42.206798,2025-08-21 12:32:08.302,,,2.023,,1,reinforced,5,,1,usual,straight_cut,carpet,,{6},not_selected
36,ЛЕЖ,ЛЕЖ-1900x1190x30-ЧЕШУЙ-ШИП11-Прям рез-1СОРТ,3,,7,,,"{""width"": 1190, ""length"": 1900, ""thickness"": 30}",,,,,0,,,t,2025-08-21 12:35:04.577343,2025-08-21 12:35:04.577343,,,2.261,,1,reinforced,5,,1,usual,straight_cut,carpet,,{7},not_selected
37,ЛЕЖ,ЛЕЖ-1930x1200x30-ЧЕШУЙ-ШИП11-1СОРТ,3,,7,,,"{""width"": 1200, ""length"": 1930, ""thickness"": 30}",,,,,0,,,t,2025-08-21 12:36:23.069008,2025-08-21 12:36:23.069008,,,2.316,,1,reinforced,5,,1,usual,straight_cut,carpet,,{7},not_selected
60,мат,МАТ-1700x1100x24-ЧЕШУЙ-ШИП7-1СОРТ,3,,7,,,"{""width"": 1100, ""length"": 1700, ""thickness"": 24}",,,,,0,,,t,2025-08-22 07:44:24.650373,2025-08-27 12:49:35.126,,,1.9092,,1,normal,4,,1,usual,straight_cut,carpet,,{7},not_selected
54,мат,МАТ-1700x1110x24-ЧЕШУЙ-ШИП7-Прям рез-1СОРТ,3,,7,,,"{""width"": 1110, ""length"": 1700, ""thickness"": 24}",,,,,0,,,t,2025-08-22 07:15:37.400595,2025-08-22 07:15:37.400595,,,1.887,,1,normal,4,,1,usual,straight_cut,carpet,,{7},not_selected
