id,name,code,description,is_system,created_at
1,Прямой рез,straight_cut,Обычный прямой край ковра,t,2025-08-20 08:01:40.062882
2,Паззл,puzzle,Паззловый край ковра с дополнительными опциями,t,2025-08-20 08:01:40.062882
3,Подпазл,podpuzzle,Тип края ковра - подпазл,f,2025-08-20 11:53:12.464063
4,Литой пазл,litoy_puzzle,Тип края ковра - литой пазл,f,2025-08-20 11:53:12.464063
