                    conname                     | contype |        table_name         
 pg_ts_config_oid_index                         | p       | pg_ts_config
 pg_ts_dict_dictname_index                      | u       | pg_ts_dict
 pg_ts_dict_oid_index                           | p       | pg_ts_dict
 pg_ts_parser_oid_index                         | p       | pg_ts_parser
 pg_ts_parser_prsname_index                     | u       | pg_ts_parser
 pg_ts_template_oid_index                       | p       | pg_ts_template
 pg_ts_template_tmplname_index                  | u       | pg_ts_template
 pg_type_oid_index                              | p       | pg_type
 pg_type_typname_nsp_index                      | u       | pg_type
 pg_user_mapping_oid_index                      | p       | pg_user_mapping
 pg_user_mapping_user_server_index              | u       | pg_user_mapping
 product_logos_name_unique                      | u       | product_logos
 product_logos_pkey                             | p       | product_logos
 product_materials_name_unique                  | u       | product_materials
 product_materials_pkey                         | p       | product_materials
 product_relations_pkey                         | p       | product_relations
 product_surfaces_name_unique                   | u       | product_surfaces
 product_surfaces_pkey                          | p       | product_surfaces
 production_queue_pkey                          | p       | production_queue
 production_task_extras_pkey                    | p       | production_task_extras
 production_tasks_pkey                          | p       | production_tasks
 products_article_unique                        | u       | products
 products_pkey                                  | p       | products
 puzzle_types_code_key                          | u       | puzzle_types
 puzzle_types_code_unique                       | u       | puzzle_types
 puzzle_types_name_key                          | u       | puzzle_types
 puzzle_types_name_unique                       | u       | puzzle_types
 puzzle_types_pkey                              | p       | puzzle_types
 role_permissions_pkey                          | p       | role_permissions
 roll_covering_composition_pkey                 | p       | roll_covering_composition
 shipment_items_pkey                            | p       | shipment_items
 shipment_orders_pkey                           | p       | shipment_orders
 shipment_orders_shipment_id_order_id_key       | u       | shipment_orders
 shipments_pkey                                 | p       | shipments
 shipments_shipment_number_unique               | u       | shipments
 stock_movements_pkey                           | p       | stock_movements
 stock_pkey                                     | p       | stock
 stock_product_id_unique                        | u       | stock
 unique_roll_covering_sort_order                | u       | roll_covering_composition
 user_permissions_pkey                          | p       | user_permissions
 users_pkey                                     | p       | users
 users_username_unique                          | u       | users
 yes_or_no_check                                | c       | -
(163 rows)

