id,role,permission_id,created_at
532,director,2,2025-07-23 09:54:51.080804
533,director,3,2025-07-23 09:54:51.091308
534,director,4,2025-07-23 09:54:51.097052
535,director,5,2025-07-23 09:54:51.110001
536,director,6,2025-07-23 09:54:51.11443
537,director,7,2025-07-23 09:54:51.121718
538,director,8,2025-07-23 09:54:51.129457
539,director,9,2025-07-23 09:54:51.134698
540,director,10,2025-07-23 09:54:51.139867
541,director,11,2025-07-23 09:54:51.145321
542,director,12,2025-07-23 09:54:51.15039
543,director,13,2025-07-23 09:54:51.154924
544,director,14,2025-07-23 09:54:51.159909
545,director,15,2025-07-23 09:54:51.165225
546,director,16,2025-07-23 09:54:51.170508
547,director,17,2025-07-23 09:54:51.175234
548,director,18,2025-07-23 09:54:51.17966
549,director,19,2025-07-23 09:54:51.184133
550,director,20,2025-07-23 09:54:51.190726
551,director,21,2025-07-23 09:54:51.195778
552,director,22,2025-07-23 09:54:51.200769
553,director,23,2025-07-23 09:54:51.206275
554,director,24,2025-07-23 09:54:51.211465
555,manager,1,2025-07-23 09:54:51.221012
556,manager,2,2025-07-23 09:54:51.228678
557,manager,3,2025-07-23 09:54:51.234643
558,manager,5,2025-07-23 09:54:51.249294
559,manager,8,2025-07-23 09:54:51.257704
560,manager,9,2025-07-23 09:54:51.262429
561,manager,10,2025-07-23 09:54:51.268334
562,manager,11,2025-07-23 09:54:51.273799
563,manager,12,2025-07-23 09:54:51.278043
564,manager,15,2025-07-23 09:54:51.281961
565,manager,16,2025-07-23 09:54:51.288742
566,manager,18,2025-07-23 09:54:51.293724
567,manager,19,2025-07-23 09:54:51.302002
568,manager,20,2025-07-23 09:54:51.307437
569,production,1,2025-07-23 09:54:51.312186
570,production,5,2025-07-23 09:54:51.31882
571,production,8,2025-07-23 09:54:51.324126
572,production,12,2025-07-23 09:54:51.33637
573,production,13,2025-07-23 09:54:51.34167
574,production,14,2025-07-23 09:54:51.3472
575,production,15,2025-07-23 09:54:51.351718
576,production,17,2025-07-23 09:54:51.358473
577,production,18,2025-07-23 09:54:51.364798
584,director,1,2025-07-28 10:46:07.80698
585,director,2,2025-07-28 10:46:07.811813
586,director,3,2025-07-28 10:46:07.815584
587,director,4,2025-07-28 10:46:07.819778
588,director,5,2025-07-28 10:46:07.825571
589,director,6,2025-07-28 10:46:07.829591
590,director,7,2025-07-28 10:46:07.833559
591,director,8,2025-07-28 10:46:07.837102
592,director,9,2025-07-28 10:46:07.840617
593,director,10,2025-07-28 10:46:07.844179
594,director,11,2025-07-28 10:46:07.848198
595,director,12,2025-07-28 10:46:07.851936
596,director,13,2025-07-28 10:46:07.855646
597,director,14,2025-07-28 10:46:07.864583
598,director,15,2025-07-28 10:46:07.872754
599,director,16,2025-07-28 10:46:07.876507
600,director,17,2025-07-28 10:46:07.88344
601,director,18,2025-07-28 10:46:07.888812
602,director,19,2025-07-28 10:46:07.893621
603,director,20,2025-07-28 10:46:07.897073
604,director,21,2025-07-28 10:46:07.900637
605,director,22,2025-07-28 10:46:07.904321
606,director,23,2025-07-28 10:46:07.909114
607,director,24,2025-07-28 10:46:07.913753
608,manager,1,2025-07-28 10:46:07.917445
609,manager,2,2025-07-28 10:46:07.920758
610,manager,3,2025-07-28 10:46:07.924363
611,manager,5,2025-07-28 10:46:07.927882
612,manager,8,2025-07-28 10:46:07.934977
613,manager,9,2025-07-28 10:46:07.938411
614,manager,10,2025-07-28 10:46:07.941493
615,manager,11,2025-07-28 10:46:07.944684
616,manager,12,2025-07-28 10:46:07.948686
617,manager,15,2025-07-28 10:46:07.952121
618,manager,16,2025-07-28 10:46:07.955423
619,manager,18,2025-07-28 10:46:07.958967
620,manager,19,2025-07-28 10:46:07.963634
621,manager,20,2025-07-28 10:46:07.967132
622,production,1,2025-07-28 10:46:07.970412
623,production,5,2025-07-28 10:46:07.974242
624,production,8,2025-07-28 10:46:07.979741
625,production,12,2025-07-28 10:46:07.996651
626,production,13,2025-07-28 10:46:08.003435
627,production,14,2025-07-28 10:46:08.007248
628,production,15,2025-07-28 10:46:08.010771
629,production,17,2025-07-28 10:46:08.014183
630,production,18,2025-07-28 10:46:08.018708
637,director,1,2025-07-28 17:36:43.202444
638,director,2,2025-07-28 17:36:43.20855
639,director,3,2025-07-28 17:36:43.213442
640,director,4,2025-07-28 17:36:43.218938
641,director,5,2025-07-28 17:36:43.222625
642,director,6,2025-07-28 17:36:43.231544
643,director,7,2025-07-28 17:36:43.236571
644,director,8,2025-07-28 17:36:43.241623
645,director,9,2025-07-28 17:36:43.248916
646,director,10,2025-07-28 17:36:43.253415
647,director,11,2025-07-28 17:36:43.258042
648,director,12,2025-07-28 17:36:43.26422
649,director,13,2025-07-28 17:36:43.269644
650,director,14,2025-07-28 17:36:43.274372
651,director,15,2025-07-28 17:36:43.278845
652,director,16,2025-07-28 17:36:43.283705
653,director,17,2025-07-28 17:36:43.288018
654,director,18,2025-07-28 17:36:43.29276
655,director,19,2025-07-28 17:36:43.296772
656,director,20,2025-07-28 17:36:43.30071
657,director,21,2025-07-28 17:36:43.305031
658,director,22,2025-07-28 17:36:43.309257
659,director,23,2025-07-28 17:36:43.330397
660,director,24,2025-07-28 17:36:43.335204
661,manager,1,2025-07-28 17:36:43.339396
662,manager,2,2025-07-28 17:36:43.344076
663,manager,3,2025-07-28 17:36:43.347962
664,manager,5,2025-07-28 17:36:43.351721
665,manager,8,2025-07-28 17:36:43.355456
666,manager,9,2025-07-28 17:36:43.359676
667,manager,10,2025-07-28 17:36:43.364633
668,manager,11,2025-07-28 17:36:43.371245
669,manager,12,2025-07-28 17:36:43.376486
670,manager,15,2025-07-28 17:36:43.385572
671,manager,16,2025-07-28 17:36:43.39852
672,manager,18,2025-07-28 17:36:43.408177
673,manager,19,2025-07-28 17:36:43.413438
674,manager,20,2025-07-28 17:36:43.421847
675,production,1,2025-07-28 17:36:43.432208
676,production,5,2025-07-28 17:36:43.438531
677,production,8,2025-07-28 17:36:43.446197
678,production,12,2025-07-28 17:36:43.450397
679,production,13,2025-07-28 17:36:43.456558
680,production,14,2025-07-28 17:36:43.462154
681,production,15,2025-07-28 17:36:43.466165
682,production,17,2025-07-28 17:36:43.470102
683,production,18,2025-07-28 17:36:43.474095
690,director,1,2025-07-28 17:59:09.069689
691,director,2,2025-07-28 17:59:09.075052
692,director,3,2025-07-28 17:59:09.079906
693,director,4,2025-07-28 17:59:09.084876
694,director,5,2025-07-28 17:59:09.090125
695,director,6,2025-07-28 17:59:09.097366
696,director,7,2025-07-28 17:59:09.105124
697,director,8,2025-07-28 17:59:09.112612
698,director,9,2025-07-28 17:59:09.117863
699,director,10,2025-07-28 17:59:09.121637
700,director,11,2025-07-28 17:59:09.125269
701,director,12,2025-07-28 17:59:09.128694
702,director,13,2025-07-28 17:59:09.132495
703,director,14,2025-07-28 17:59:09.136366
704,director,15,2025-07-28 17:59:09.140217
705,director,16,2025-07-28 17:59:09.150124
706,director,17,2025-07-28 17:59:09.153915
707,director,18,2025-07-28 17:59:09.159836
708,director,19,2025-07-28 17:59:09.164466
709,director,20,2025-07-28 17:59:09.169043
710,director,21,2025-07-28 17:59:09.173013
711,director,22,2025-07-28 17:59:09.177471
712,director,23,2025-07-28 17:59:09.181123
713,director,24,2025-07-28 17:59:09.184906
714,manager,1,2025-07-28 17:59:09.189479
715,manager,2,2025-07-28 17:59:09.194268
716,manager,3,2025-07-28 17:59:09.198255
717,manager,5,2025-07-28 17:59:09.204311
718,manager,8,2025-07-28 17:59:09.209288
719,manager,9,2025-07-28 17:59:09.21443
720,manager,10,2025-07-28 17:59:09.218773
721,manager,11,2025-07-28 17:59:09.224412
722,manager,12,2025-07-28 17:59:09.229822
723,manager,15,2025-07-28 17:59:09.234159
724,manager,16,2025-07-28 17:59:09.240662
725,manager,18,2025-07-28 17:59:09.245745
726,manager,19,2025-07-28 17:59:09.250178
727,manager,20,2025-07-28 17:59:09.255656
728,production,1,2025-07-28 17:59:09.26025
729,production,5,2025-07-28 17:59:09.267544
730,production,8,2025-07-28 17:59:09.27183
731,production,12,2025-07-28 17:59:09.276129
732,production,13,2025-07-28 17:59:09.280316
733,production,14,2025-07-28 17:59:09.28454
734,production,15,2025-07-28 17:59:09.289357
