id,name,description,is_system,created_at
6,Черточки,Поверхность с рисунком в виде черточек,t,2025-07-22 12:29:00.222976
7,Чешуйки,Поверхность с рисунком в виде чешуек,t,2025-07-22 12:29:00.222976
8,Гладкая,Гладкая поверхность без рисунка,t,2025-07-22 12:29:00.222976
9,1 коровка,Поверхность с одним логотипом коровки,t,2025-07-22 12:29:00.222976
10,3 коровки,Поверхность с тремя логотипами коровок,t,2025-07-22 12:29:00.222976
11,Чешуйка с лого,Поверхность с чешуйками и логотипом,t,2025-07-22 12:29:00.222976
