id,name,description,is_system,created_at
4,GEA,Логотип бренда GEA,t,2025-07-22 12:29:00.222976
5,Maximilk,Логотип бренда Maximilk,t,2025-07-22 12:29:00.222976
6,VELES,Логотип бренда VELES,t,2025-07-22 12:29:00.222976
7,Агротек,Логотип бренда Агротек,t,2025-07-22 12:29:00.222976
8,Арнтьен,Логотип бренда Арнтьен,t,2025-07-22 12:29:00.222976
